Respondent_ID,Region,Age_Group,Choice
1,East,18-25,Option A
2,West,18-25,Option B
3,North,36-50,Option C
4,East,26-35,Option C
5,East,26-35,Option C
6,West,18-25,Option A
7,North,50+,Option B
8,North,26-35,Option B
9,East,50+,Option B
10,South,26-35,Option C
11,East,50+,Option A
12,East,36-50,Option C
13,East,50+,Option C
14,East,36-50,Option B
15,West,36-50,Option C
16,North,50+,Option B
17,West,36-50,Option A
18,West,18-25,Option B
19,West,36-50,Option A
20,East,26-35,Option B
21,South,50+,Option C
22,North,18-25,Option C
23,South,50+,Option A
24,West,26-35,Option A
25,West,26-35,Option A
26,South,26-35,Option B
27,South,36-50,Option B
28,South,36-50,Option A
29,West,50+,Option C
30,West,50+,Option B
31,North,18-25,Option B
32,North,18-25,Option B
33,West,50+,Option A
34,South,36-50,Option A
35,South,26-35,Option A
36,North,50+,Option A
37,West,18-25,Option A
38,North,36-50,Option C
39,North,50+,Option C
40,East,50+,Option A
41,East,36-50,Option B
42,East,50+,Option A
43,South,36-50,Option C
44,West,26-35,Option C
45,West,36-50,Option B
46,West,36-50,Option C
47,West,36-50,Option A
48,East,50+,Option B
49,South,50+,Option A
50,South,36-50,Option A
51,East,50+,Option B
52,South,18-25,Option A
53,East,18-25,Option C
54,West,50+,Option A
55,East,50+,Option B
56,West,36-50,Option B
57,West,26-35,Option B
58,North,50+,Option A
59,East,18-25,Option B
60,North,36-50,Option B
61,East,50+,Option A
62,East,18-25,Option C
63,North,18-25,Option A
64,North,26-35,Option B
65,East,36-50,Option B
66,South,36-50,Option A
67,West,26-35,Option C
68,North,26-35,Option B
69,West,36-50,Option B
70,South,36-50,Option B
71,South,50+,Option A
72,South,50+,Option B
73,North,26-35,Option C
74,South,50+,Option B
75,North,18-25,Option B
76,South,50+,Option C
77,West,50+,Option B
78,West,18-25,Option A
79,East,26-35,Option A
80,West,18-25,Option A
81,East,50+,Option C
82,West,26-35,Option B
83,North,50+,Option A
84,West,18-25,Option C
85,East,18-25,Option B
86,East,50+,Option C
87,South,36-50,Option A
88,North,36-50,Option A
89,West,18-25,Option A
90,South,18-25,Option C
91,West,36-50,Option C
92,West,36-50,Option A
93,South,50+,Option C
94,South,50+,Option A
95,South,36-50,Option A
96,South,50+,Option B
97,South,50+,Option C
98,West,26-35,Option A
99,South,50+,Option A
100,North,18-25,Option C
101,East,50+,Option B
102,South,50+,Option B
103,South,36-50,Option A
104,West,18-25,Option C
105,South,50+,Option B
106,South,50+,Option C
107,South,26-35,Option C
108,West,50+,Option A
109,South,50+,Option B
110,East,26-35,Option A
111,West,36-50,Option B
112,East,50+,Option B
113,West,26-35,Option B
114,South,18-25,Option B
115,East,36-50,Option B
116,West,18-25,Option C
117,North,18-25,Option A
118,South,26-35,Option C
119,West,50+,Option B
120,North,26-35,Option A
121,West,26-35,Option B
122,North,26-35,Option A
123,South,26-35,Option C
124,East,36-50,Option A
125,North,50+,Option A
126,West,18-25,Option A
127,South,18-25,Option A
128,North,50+,Option A
129,West,18-25,Option B
130,West,50+,Option A
131,West,18-25,Option A
132,North,26-35,Option C
133,North,18-25,Option A
134,North,50+,Option C
135,East,50+,Option B
136,North,50+,Option A
137,North,50+,Option C
138,North,50+,Option C
139,East,36-50,Option B
140,North,36-50,Option A
141,West,18-25,Option A
142,North,50+,Option C
143,West,18-25,Option A
144,West,50+,Option C
145,West,50+,Option A
146,East,36-50,Option C
147,East,36-50,Option A
148,East,26-35,Option B
149,North,36-50,Option A
150,West,26-35,Option A
151,East,26-35,Option B
152,East,26-35,Option A
153,North,26-35,Option B
154,East,26-35,Option A
155,North,18-25,Option C
156,South,36-50,Option C
157,East,26-35,Option A
158,South,50+,Option A
159,North,36-50,Option A
160,West,36-50,Option C
161,East,26-35,Option A
162,North,18-25,Option C
163,West,26-35,Option B
164,West,18-25,Option C
165,South,50+,Option C
166,North,36-50,Option B
167,West,50+,Option C
168,East,18-25,Option A
169,East,18-25,Option A
170,South,50+,Option C
171,West,18-25,Option A
172,North,50+,Option C
173,East,36-50,Option A
174,West,50+,Option A
175,West,36-50,Option C
176,South,50+,Option A
177,East,18-25,Option C
178,East,50+,Option A
179,North,18-25,Option A
180,East,50+,Option B
181,North,50+,Option B
182,East,26-35,Option C
183,South,18-25,Option B
184,East,26-35,Option C
185,North,18-25,Option B
186,North,26-35,Option A
187,South,36-50,Option C
188,East,50+,Option C
189,East,18-25,Option A
190,South,18-25,Option C
191,East,50+,Option C
192,East,18-25,Option B
193,North,18-25,Option C
194,East,26-35,Option A
195,East,18-25,Option B
196,South,36-50,Option B
197,South,36-50,Option A
198,West,50+,Option A
199,North,18-25,Option B
200,East,50+,Option C
201,East,36-50,Option B
202,West,18-25,Option A
203,East,18-25,Option B
204,North,50+,Option A
205,West,36-50,Option B
206,North,18-25,Option C
207,West,50+,Option B
208,West,36-50,Option B
209,South,50+,Option A
210,North,26-35,Option A
211,East,18-25,Option A
212,East,26-35,Option B
213,North,36-50,Option C
214,East,26-35,Option A
215,East,26-35,Option A
216,North,36-50,Option B
217,West,50+,Option A
218,North,26-35,Option C
219,West,50+,Option C
220,East,26-35,Option A
221,East,50+,Option A
222,East,36-50,Option B
223,South,26-35,Option C
224,West,36-50,Option C
225,South,26-35,Option A
226,South,36-50,Option B
227,North,36-50,Option C
228,South,26-35,Option C
229,North,26-35,Option B
230,North,26-35,Option B
231,South,18-25,Option C
232,West,50+,Option C
233,West,18-25,Option B
234,West,18-25,Option C
235,West,36-50,Option A
236,West,26-35,Option A
237,South,50+,Option B
238,South,36-50,Option B
239,East,18-25,Option B
240,West,26-35,Option A
241,South,36-50,Option C
242,East,26-35,Option A
243,West,36-50,Option C
244,North,26-35,Option A
245,East,18-25,Option C
246,South,50+,Option A
247,North,18-25,Option B
248,North,50+,Option A
249,North,26-35,Option C
250,East,36-50,Option A
251,South,18-25,Option A
252,North,50+,Option A
253,West,18-25,Option B
254,North,50+,Option A
255,North,18-25,Option B
256,East,50+,Option B
257,East,50+,Option A
258,South,26-35,Option A
259,West,50+,Option A
260,East,26-35,Option C
261,North,50+,Option A
262,South,36-50,Option B
263,North,36-50,Option A
264,North,36-50,Option C
265,East,50+,Option A
266,South,26-35,Option C
267,West,26-35,Option C
268,West,50+,Option A
269,East,36-50,Option B
270,East,36-50,Option C
271,South,26-35,Option A
272,West,36-50,Option A
273,West,18-25,Option B
274,West,26-35,Option C
275,North,36-50,Option C
276,West,26-35,Option A
277,North,18-25,Option A
278,South,26-35,Option B
279,North,26-35,Option B
280,South,26-35,Option C
281,West,26-35,Option C
282,West,18-25,Option A
283,South,50+,Option C
284,East,26-35,Option B
285,South,26-35,Option B
286,East,36-50,Option A
287,North,26-35,Option B
288,North,36-50,Option B
289,North,50+,Option B
290,West,18-25,Option B
291,North,18-25,Option A
292,East,50+,Option A
293,North,18-25,Option C
294,South,50+,Option B
295,South,50+,Option C
296,West,50+,Option A
297,South,18-25,Option A
298,East,36-50,Option A
299,North,50+,Option A
300,West,26-35,Option A
